1605144451.298294, 	 reno wscale:9,9 rto:376 rtt:174.809/0.375 mss:1448 cwnd:177 ssthresh:308 bytes_acked:1336529 segs_out:1850 segs_in:531 send 11.7Mbps lastrcv:1484 pacing_rate 35.9Mbps unacked:453 retrans:127/471 lost:127 sacked:276 rcv_space:14480
1605144451.317735, 	 reno wscale:9,9 rto:376 rtt:174.809/0.375 mss:1448 cwnd:174 ssthresh:308 bytes_acked:1336529 segs_out:1865 segs_in:543 send 11.5Mbps lastrcv:1504 pacing_rate 36.8Mbps unacked:465 retrans:112/474 lost:112 sacked:291 rcv_space:14480
1605144451.339120, 	 reno wscale:9,9 rto:376 rtt:174.809/0.375 mss:1448 cwnd:171 ssthresh:308 bytes_acked:1336529 segs_out:1882 segs_in:557 send 11.3Mbps lastrcv:1524 pacing_rate 37.9Mbps unacked:479 retrans:95/477 lost:95 sacked:308 rcv_space:14480
1605144451.362695, 	 reno wscale:9,9 rto:376 rtt:174.809/0.375 mss:1448 cwnd:171 ssthresh:308 bytes_acked:1336529 segs_out:1909 segs_in:575 send 11.3Mbps lastrcv:1556 pacing_rate 40.1Mbps unacked:506 retrans:68/477 lost:68 sacked:335 rcv_space:14480
1605144451.391902, 	 reno wscale:9,9 rto:376 rtt:174.809/0.375 mss:1448 cwnd:171 ssthresh:308 bytes_acked:1336529 segs_out:1925 segs_in:586 send 11.3Mbps lastsnd:4 lastrcv:1580 lastack:4 pacing_rate 41.4Mbps unacked:522 retrans:52/477 lost:52 sacked:351 rcv_space:14480
1605144451.412247, 	 reno wscale:9,9 rto:376 rtt:174.809/0.375 mss:1448 cwnd:171 ssthresh:308 bytes_acked:1336529 segs_out:1939 segs_in:595 send 11.3Mbps lastsnd:4 lastrcv:1600 lastack:4 pacing_rate 42.5Mbps unacked:536 retrans:38/477 lost:38 sacked:365 rcv_space:14480
1605144451.432258, 	 reno wscale:9,9 rto:376 rtt:174.809/0.375 mss:1448 cwnd:171 ssthresh:308 bytes_acked:1336529 segs_out:1958 segs_in:608 send 11.3Mbps lastrcv:1624 pacing_rate 44.1Mbps unacked:555 retrans:19/477 lost:19 sacked:384 rcv_space:14480
1605144451.456564, 	 reno wscale:9,9 rto:380 rtt:178.2/4.843 mss:1448 cwnd:168 ssthresh:308 bytes_acked:1336529 segs_out:1976 segs_in:621 send 10.9Mbps lastrcv:1644 pacing_rate 44.3Mbps unacked:570 retrans:10/480 lost:10 sacked:402 rcv_space:14480
1605144451.477282, 	 reno wscale:9,9 rto:388 rtt:187.538/8.358 mss:1448 cwnd:168 ssthresh:308 bytes_acked:1336529 segs_out:1995 segs_in:630 send 10.4Mbps lastsnd:4 lastrcv:1668 lastack:4 pacing_rate 43.5Mbps unacked:589 retrans:10/480 lost:10 sacked:421 rcv_space:14480
1605144451.499934, 	 reno wscale:9,9 rto:396 rtt:195.873/8.068 mss:1448 cwnd:164 ssthresh:308 bytes_acked:1336529 segs_out:2011 segs_in:638 send 9.7Mbps lastsnd:4 lastrcv:1688 lastack:4 pacing_rate 42.5Mbps unacked:601 retrans:14/484 lost:14 sacked:437 rcv_space:14480
